objectid,title,format,filename,date,description,subject,location,latitude,longitude
item1,The Cataract House,image/jpeg,cattaracthouse.jpeg,1897-06,An advertisement of the Cataract Hotel in an 1867 publication of the Niagara Rainbow.,House; Hotel; Niagara Falls; Indigenous,"Niagara Falls, New York",43.083795,-79.063215
item2,Railway House,image/jpeg,railwayhouse.jpeg,1867-12-01,An advertisement of a railway house located in Durham published in the Durham Chronicle.,Railway; House; Train; Mountain; Goods,"Durham, Ontario",,
item3,William Pawling,image/jpeg,cherubsuitcase.jpeg,1882,An advertisement for William Pawling’s leather store published in Lovell's Business and Professional Directory of the Province of Ontario. ,Cherub; Suitcase; Leather,"St. Catharines, Ontario",43.15925554,-79.25357205
item4,The Great Cheapside,image/jpeg,tradclothing.jpeg,1882,An advertisement for the Great Cheapside published in Lovell's Business and Professional Directory of the Province of Ontario. ,Man; Clothing; Hat;,"St. Catharines, Ontario",43.15644408,-79.24525423
item5,Bristol's Sarsaparilla,image/jpeg,eaglesasparilla.jpeg,1866-08-09,An advertisement of Bristol’s Sarsaparilla found in the August 9th 1866 edition of the St. Catharines Constitutional. ,Eagle; Sarsaparilla; Animal,"St. Catharines, Ontario",,
item6,Grover and Baker's Sewing Machines,image/jpeg,sowingmachines.jpeg,1866-08-09,An advertisement of Grover and Baker’s Sewing Machines published in the August 9th 1866 edition of the St. Catharines Constitutional. ,Sewing; Woman,"St. Catharines, Ontario",,
item7,Saskatchewan Homstead Company,image/jpeg,homestead.jpeg,1885,An advertisement for the Saskatchewan Homestead Company published at the back of a Methodist religious service pamphlet.,House; Horse; Family; Animal,"Toronto, Ontario",43.64862885,-79.38101969
item8,WM.N. Braund's,image/jpeg,stoves.jpeg,1878-01-30,An advertisement marketing WM.N. Braund’s offerings of stoves published in The Monck Reform Press.,Stove; Pattern,"Dunnville, Ontario",,
item9,"Prof. G. Lorraine Linder, Phrenological Examinations",image/jpeg,knowthyself.jpeg,1875-12-02,"A full length advertisement outlining Prof. G. Lorraine Linder’s appearance at the Adkins Hotel in Smithville, Ontario. ",Psychology; Phrenology; Hotel,"Smithville, Ontario",,
item10,Canadian Pacific Railway,image/jpeg,farmerswanted.jpeg,1908-08-07,An advertisement commissioned by the Canadian Pacific Railway requesting Farm laborers for work in out west published in the Thorold Post. ,Farmer; Railway; Man; Animal,"Thorold, Ontario",,
item11,Star Music Store,image/jpeg,cats.jpeg,,"An advertisement for the Star Music Store in St. Catharines, Ontario depicting three illustrated cats playing instruments.",Cat; Animal; Music; Colour,"St. Catharines, Ontario",43.15719985,-79.2451168
item12,Thomas Cowan,image/jpeg,shoes.jpeg,,"An illustration of a shoe, folding fan, book, and a rose advertising Boots, shoes, trunks & valises sold by Thomas Cowan.",Colour; Shoe; Clothing,"Thorold, Ontario",,
item13,James D. Tait's,image/jpeg,bison.jpeg,1869-06-24,An advertisement for James D. Tait’s clothing store found in the June 24th 1869 edition of the St. Catharines Constitutional.  ,Animal; Bison; Fashion; Clothing,"St. Catharines, Ontario",,
item14,Harris & Berston,image/jpeg,nativeamerican.jpeg,1869-06-24,An advertisement of Harris & Berston’s retail shop published  in the June 24th 1869 edition of the St. Catharines Constitutional.  ,Indigenous; Cigar; Pipe; Goods,"St. Catharines, Ontario",,
item15,Mutual Fire Insurance Co.,image/jpeg,mutualfire.jpeg,1869-06-24,An advertisement of the Niagara District’s Mutual Fire Insurance company published in the June 24th 1869 edition of the St. Catharines Constitutional.  ,Fire; Insurance,"St. Catharines, Ontario",,
